Loan_ID,Bank,Customer_Name,Gender,Married,Dependents,Education,Employment_Status,Applicant_Income,Coapplicant_Income,Loan_Amount,Loan_Term_Months,Credit_History,Property_Area,Age,Loan_Status,CIBIL_Score,Annual_Household_Income,Debt_to_Income_Ratio,Purpose_of_Loan,Existing_EMIs,Number_of_Previous_Loans,Default_History_Count,Employment_Length_Years,Business_Type,Asset_Value,Guarantor,Co-signer_Relationship,Monthly_Expense,Organization_Type,Region_Branch,Mobile_Verified,Email_Verified,Institutional_Relationships,Application_Text,Customer_Feedback,Agent_Notes,Loan_to_Annual_Income,Customer_Sentiment,Religion,State,City,PIN_Code,Aadhaar_Synthetic,Phone_Number,Email,Occupation
12,0,32,1,0,1,0,1,63115,0,6941488,300,1,0,36,0,811,757380,0.278,3,17521,0,0,8,1,1296096,0,4,25969,1,5,1,1,4,217,3,2,9.165,1,2,6,3,722092,479000000000.0,9287923264,32,4
13,0,21,1,0,1,1,2,17960,17074,287671,360,0,2,64,0,598,420408,0.0,1,0,0,1,4,3,1810612,1,2,14135,2,6,1,1,0,0,4,3,0.684,1,1,1,0,140245,495000000000.0,9714627301,21,5
14,0,1,0,1,0,1,0,53684,0,8195681,240,1,2,27,0,716,644208,0.711,3,38162,2,0,0,1,887615,0,2,33009,3,1,1,1,2,0,3,0,12.722,0,2,1,0,573147,960000000000.0,9042902572,1,12
15,0,2,1,1,2,0,1,56092,57453,347497,24,1,2,37,0,719,1362540,0.165,4,18724,0,0,1,1,4826746,0,2,46697,0,3,1,1,2,1,4,4,0.255,1,3,6,3,257493,457000000000.0,9192855445,2,15
16,0,4,1,1,1,0,1,29319,0,1545607,180,0,0,26,1,604,351828,0.777,1,22783,0,1,3,1,1198071,1,4,9684,2,3,1,1,0,0,1,4,4.393,0,2,5,9,252997,520000000000.0,9328338988,4,4
17,0,11,1,0,2,0,2,10609,0,180121,36,0,2,45,1,637,127308,0.0,5,0,2,1,5,2,1224266,0,4,2000,3,0,1,1,3,181,4,1,1.415,1,4,2,18,871187,711000000000.0,9852401322,11,10
18,0,17,1,0,0,1,1,38270,28204,3411529,360,1,1,18,1,699,797688,0.706,1,46922,1,0,0,1,1968803,1,4,25232,3,4,1,1,0,0,3,4,4.277,0,2,9,12,485583,322000000000.0,9089071401,17,7
19,0,31,0,1,1,1,1,43293,51761,7633475,180,1,1,19,0,759,1140648,0.0,3,0,1,0,2,1,3178586,0,4,49446,1,3,1,0,3,217,0,2,6.692,0,2,4,17,515950,194000000000.0,9552893891,31,15
20,0,13,1,1,0,0,1,48611,0,52825,36,1,2,30,0,729,583332,0.926,5,44997,0,0,2,1,1632336,0,1,24955,3,4,1,1,0,219,2,4,0.091,2,2,3,11,791333,833000000000.0,9927125663,13,3
21,0,17,1,1,0,0,2,15509,0,342795,12,1,2,42,1,609,186108,2.065,4,32027,1,0,1,5,942687,0,0,3077,3,6,1,1,1,1,2,0,1.842,1,2,0,5,679514,152000000000.0,9157164794,17,2
22,0,24,0,1,0,0,2,56486,60769,5670008,300,0,2,43,0,577,1407060,0.008,3,948,1,0,1,0,5408344,0,2,57837,0,5,1,1,1,221,2,4,4.03,2,2,0,23,138882,646000000000.0,9781126691,24,14
23,0,40,1,0,0,0,1,97735,0,1673966,360,0,2,34,0,715,1172820,0.339,1,33157,0,2,5,1,3481206,0,3,50190,1,6,0,1,1,221,3,1,1.427,2,3,2,18,716329,354000000000.0,9465796784,40,17
24,0,32,1,0,2,0,1,45050,0,395365,24,1,0,38,1,797,540600,1.22,5,54940,0,0,0,1,1585962,0,4,15153,2,3,1,0,2,219,0,0,0.731,2,2,1,0,175208,148000000000.0,9269524991,32,8
25,0,40,1,0,1,1,1,34900,0,4044564,360,1,2,31,0,638,418800,0.247,3,8618,1,0,5,1,1730208,0,2,6351,2,2,1,1,0,221,1,2,9.658,0,3,5,1,196930,735000000000.0,9061675677,40,0
26,0,4,0,0,0,1,2,9381,0,319925,36,1,0,27,1,669,112572,1.987,2,18637,0,0,0,1,161653,0,3,2094,3,2,1,1,3,1,3,1,2.842,0,2,4,17,949958,843000000000.0,9889778280,4,13
27,0,24,0,1,0,1,2,3000,0,73556,36,0,2,26,1,486,36000,6.873,2,20619,0,1,1,5,856022,0,4,3000,0,4,1,0,1,0,2,1,2.043,1,2,9,6,964826,970000000000.0,9590561655,24,11
28,0,32,0,1,1,0,1,54597,0,320019,12,1,0,21,0,737,655164,0.295,5,16114,1,0,1,1,1459439,0,4,16294,3,1,1,1,0,219,0,1,0.488,0,2,8,14,161739,333000000000.0,9850769864,32,16
29,0,0,1,1,0,0,1,43481,0,2982596,300,0,1,32,1,564,521772,0.044,3,1897,2,0,1,1,1639761,0,2,26314,1,2,1,1,3,1,4,0,5.716,2,2,1,27,272457,56965917135.0,9785294563,0,6
30,0,24,1,0,1,0,1,89792,53231,5329197,240,0,0,44,1,673,1716276,0.079,3,11321,2,2,0,1,4061666,1,3,55817,1,0,1,1,3,1,1,4,3.105,2,2,2,7,168922,344000000000.0,9954198763,24,12
31,0,18,1,0,2,1,1,22973,19443,365226,24,1,1,50,0,746,508992,0.0,4,0,2,0,0,1,650422,0,2,8677,4,0,0,1,3,218,1,0,0.718,2,2,2,7,108092,485000000000.0,9782082973,18,2
32,0,24,1,0,1,0,1,92535,0,317539,24,0,1,51,0,758,1110420,0.0,5,0,0,1,3,1,3806349,0,4,44338,2,6,1,1,1,0,0,1,0.286,2,2,9,24,49153,897000000000.0,9466513644,24,14
33,0,17,1,0,2,0,2,39270,0,4525695,300,1,1,33,1,633,471240,0.793,3,31131,1,0,2,2,1512999,1,4,21793,0,1,1,0,3,0,4,1,9.604,2,2,9,24,257693,936000000000.0,9866032420,17,5
34,0,17,1,1,0,0,1,55899,0,5698029,300,1,2,32,0,636,670788,0.0,3,0,0,0,3,1,1540018,1,4,36669,4,4,0,1,1,135,3,2,8.495,2,2,9,24,529236,821000000000.0,9516231981,17,3
35,0,32,1,0,0,0,1,33527,0,2059790,240,1,0,33,1,686,402324,1.092,1,36615,1,0,0,1,1310815,0,4,17320,3,0,0,1,1,215,4,2,5.12,0,2,3,13,87246,471000000000.0,9321234764,32,0
36,0,24,1,1,1,0,1,28605,0,1896751,48,0,1,40,1,522,343260,1.534,0,43883,2,0,2,1,1534848,0,3,11890,3,6,1,1,2,0,1,0,5.526,1,2,1,27,625941,516000000000.0,9409003486,24,7
37,0,13,1,0,0,0,2,33983,0,210899,24,0,1,27,1,562,407796,1.297,6,44067,1,0,1,5,764062,0,2,14067,4,4,0,1,2,1,4,3,0.517,1,2,8,10,868224,184000000000.0,9327560417,13,6
38,0,21,0,0,1,1,0,23543,0,1554318,120,0,0,18,1,579,282516,0.528,1,12435,0,1,5,1,1105184,1,3,16565,4,5,1,1,3,221,1,2,5.502,2,1,7,28,207016,612000000000.0,9002720634,21,1
40,0,12,1,1,2,0,2,3000,0,1962548,240,1,0,38,1,686,36000,10.47,1,31409,2,0,0,4,87189,0,4,3000,0,3,1,1,1,1,4,0,54.515,2,3,7,8,257562,8931734206.0,9969421529,12,15
41,0,32,1,1,0,0,1,60010,0,4336408,240,1,1,29,0,637,720120,0.313,3,18794,0,0,0,1,2714054,0,4,29597,4,0,1,1,4,117,3,4,6.022,2,2,4,19,234938,868000000000.0,9263934362,32,11
42,0,24,1,0,0,1,0,30506,11887,4606884,360,0,2,29,0,570,508716,0.0,3,0,1,0,4,1,1437277,0,4,20295,0,0,1,0,4,0,3,0,9.056,2,2,6,3,708068,444000000000.0,9256366941,24,15
43,0,12,0,1,1,0,1,48860,0,5730018,240,1,1,46,0,643,586320,0.337,3,16484,0,0,1,1,1930322,0,4,24270,4,1,1,1,3,221,4,0,9.773,2,3,5,15,635421,53759900489.0,9646528092,12,5
44,0,18,1,0,0,0,1,62285,4323,1261833,48,0,1,36,1,555,799296,0.815,0,54256,0,2,3,1,3005465,0,4,33684,0,6,1,1,1,1,0,4,1.579,1,2,6,16,245432,757000000000.0,9027456449,18,5
45,0,1,1,0,1,0,1,27205,0,4192441,180,1,2,27,0,781,326460,0.488,3,13277,0,0,4,1,1299801,0,4,13619,0,0,1,0,0,217,3,1,12.842,0,2,5,1,753654,626000000000.0,9207427617,1,0
46,0,10,0,0,2,1,1,52863,0,490029,36,1,0,35,0,674,634356,0.941,5,49719,0,0,0,1,1387279,0,1,21141,0,4,1,1,0,0,0,2,0.772,1,4,1,25,239580,878000000000.0,9284993908,10,14
47,0,32,1,1,0,1,1,53000,0,376708,36,1,2,38,0,842,636000,0.672,5,35626,1,0,0,1,2114109,0,1,30434,3,0,1,0,4,189,3,2,0.592,0,2,7,8,760143,372000000000.0,9201777490,32,1
48,0,0,1,0,0,1,1,91498,0,1310257,48,1,2,35,0,616,1097976,0.14,0,12853,0,0,2,1,4199774,1,1,45597,2,2,1,0,3,4,4,4,1.193,2,2,4,19,4535,976000000000.0,9961642361,0,16
49,0,18,1,1,2,0,1,47655,0,367306,36,1,0,51,0,757,571860,0.0,2,0,1,0,1,1,912808,0,4,19106,4,0,1,1,1,221,4,2,0.642,2,2,0,20,153828,664000000000.0,9158377674,18,11
50,0,17,1,1,1,0,1,92893,0,454376,36,1,1,40,0,696,1114716,0.176,5,16355,0,0,1,1,2811366,1,4,42260,3,5,1,1,3,221,4,1,0.408,1,2,2,18,153211,593000000000.0,9788147617,17,7
51,0,17,0,1,1,1,3,1519,0,492593,36,0,2,37,1,687,18228,13.925,5,21152,0,1,0,1,648199,0,2,1519,4,5,0,1,1,196,3,0,27.024,2,2,6,3,334001,439000000000.0,9866179454,17,8
52,0,24,2,0,0,0,1,80579,0,438846,60,1,0,18,0,718,966948,0.096,5,7715,1,0,3,1,3455474,0,1,28950,0,4,1,1,4,219,4,2,0.454,1,2,5,15,453668,172000000000.0,9794523219,24,5
53,0,18,1,0,1,0,1,94207,0,618302,36,1,1,38,0,740,1130484,0.155,0,14601,0,0,2,1,4611328,0,4,41129,0,0,1,0,0,214,0,1,0.547,2,2,2,18,510447,801000000000.0,9499564122,18,16
54,0,38,1,0,1,0,3,27646,27412,1816200,360,1,0,42,0,617,660696,0.248,1,13672,1,0,0,1,2238858,0,4,24056,2,4,1,1,0,41,0,3,2.749,1,2,0,20,923263,30372368314.0,9727601227,38,6
55,0,17,1,1,1,1,2,23796,0,418580,240,0,2,28,0,580,285552,0.0,1,0,3,0,0,1,262856,0,4,12257,1,2,1,1,3,221,1,2,1.466,2,2,1,0,63061,793000000000.0,9679984076,17,6
56,0,11,1,1,1,1,1,33925,0,635540,36,1,2,28,0,696,407100,0.116,5,3928,1,0,0,1,2035498,1,4,9762,2,1,1,1,2,0,4,1,1.561,0,4,5,9,709314,973000000000.0,9671795760,11,14
57,0,3,1,0,0,0,2,31372,0,501237,360,1,0,46,0,748,376464,0.0,3,0,1,0,0,2,1476595,1,3,10439,4,4,1,1,1,132,2,1,1.331,2,4,9,24,579736,376000000000.0,9466572934,3,8
58,0,1,1,0,3,0,2,121176,91769,1633540,360,1,0,42,0,619,2555340,0.056,1,11950,1,0,0,4,7000403,1,3,93071,3,4,1,1,1,221,1,0,0.639,2,2,1,0,295929,233000000000.0,9005452280,1,8
59,0,9,2,0,0,1,1,39035,0,2666302,360,1,1,34,0,727,468420,0.042,1,1638,0,0,0,1,886972,0,1,24131,2,5,1,0,4,1,3,4,5.692,2,3,8,21,319350,193000000000.0,9428910771,9,15
60,0,4,0,1,3,1,2,68621,67270,5165284,180,1,1,29,0,684,1630692,0.05,3,6758,3,0,0,4,5657451,1,4,67244,0,5,1,1,1,133,4,2,3.168,2,2,3,13,232287,181000000000.0,9871255213,4,2
61,0,39,1,1,1,0,2,25617,7861,2894984,300,1,0,42,0,706,401736,0.729,3,24412,1,0,1,4,1809112,0,4,13481,3,6,1,1,1,217,1,0,7.206,2,3,7,8,650396,375000000000.0,9286326667,39,3
62,0,24,1,1,2,0,1,30088,16580,3694530,300,1,2,39,0,655,560016,0.0,3,0,0,0,5,1,2046220,0,1,14809,1,6,1,0,1,107,0,0,6.597,0,2,8,14,148863,721000000000.0,9602908466,24,4
63,0,17,1,0,0,1,2,45832,0,1884,48,1,0,35,0,657,549984,0.207,5,9485,1,0,0,3,1779561,0,1,20009,2,3,1,1,1,0,2,4,0.003,0,2,9,24,889208,550000000000.0,9975634108,17,1
64,0,31,0,0,2,0,1,81379,54960,305955,48,0,0,41,0,525,1636068,0.0,5,0,1,2,0,1,4467973,0,3,59809,4,4,1,1,3,219,2,2,0.187,2,2,7,8,844370,884000000000.0,9089434681,31,0
65,0,10,1,0,0,0,1,29274,0,880680,36,1,0,39,0,602,351288,0.163,0,4770,2,0,14,1,447635,0,2,18850,3,3,1,1,3,221,2,1,2.507,2,4,8,21,138153,851000000000.0,9998935449,10,17
66,0,18,1,0,0,0,2,65720,23603,354673,24,0,0,40,0,597,1071876,0.073,6,6516,1,0,2,5,4121315,0,1,43313,1,1,1,1,0,1,1,1,0.331,2,2,7,8,805524,159000000000.0,9106273715,18,3
67,0,31,1,0,0,0,2,66933,0,8589894,300,0,1,26,0,561,803196,0.042,3,2804,0,0,0,1,1856433,0,3,28681,4,4,1,1,1,217,1,3,10.695,2,2,7,28,979615,498000000000.0,9728813770,31,14
68,0,0,1,0,0,0,1,36203,0,12674597,300,1,2,18,0,789,434436,1.443,3,52226,2,0,5,1,894208,1,2,16274,3,6,1,1,3,88,4,3,29.175,1,2,5,1,687847,196000000000.0,9545447022,0,11
69,0,38,1,1,0,0,2,52935,0,95162,36,1,0,19,0,634,635220,0.984,4,52081,1,0,2,1,2450034,1,2,24525,1,0,0,1,2,221,1,3,0.15,0,2,4,22,399679,433000000000.0,9949756792,38,17
70,0,32,1,1,1,0,3,15273,17887,319981,12,1,2,28,0,633,397920,0.54,4,17919,0,0,3,1,694103,0,4,19353,3,6,1,1,1,165,1,3,0.804,0,2,5,9,828809,777000000000.0,9580741209,32,7
71,0,1,1,1,0,1,1,5000,4768,313398,60,1,2,22,1,712,117216,2.592,4,25318,0,0,11,1,0,0,1,5863,0,0,0,1,4,218,2,1,2.674,2,2,5,9,229146,181000000000.0,9801820433,1,2
72,0,38,1,0,0,0,2,53105,32609,587708,36,0,0,25,0,583,1028568,0.224,5,19196,1,0,3,3,2976838,0,3,47420,4,1,1,1,1,219,2,3,0.571,0,2,2,7,775458,957000000000.0,9856411182,38,7
73,0,24,0,1,0,0,1,53066,66325,1208188,360,1,1,39,0,722,1432692,0.0,1,0,1,0,2,1,4259157,0,4,58917,3,0,1,0,2,0,4,3,0.843,0,2,6,3,99912,412000000000.0,9461526546,24,15
74,0,18,1,1,2,0,1,21455,0,1014230,48,1,2,38,0,669,257460,0.0,0,0,1,0,0,1,2044213,1,2,10568,4,0,1,1,0,0,3,1,3.939,0,2,4,17,378268,399000000000.0,9786170630,18,5
75,0,1,1,0,1,0,1,36438,0,537477,36,1,1,18,1,680,437256,1.833,5,66791,1,0,5,1,1164067,0,0,14878,4,4,1,1,0,0,3,1,1.229,1,2,5,9,440144,138000000000.0,9582386870,1,16
76,0,32,1,0,2,0,1,40206,0,577589,240,0,0,40,0,665,482472,0.0,1,0,1,2,3,1,1633633,0,1,14142,4,1,1,0,2,0,4,2,1.197,0,2,1,27,856012,420000000000.0,9840289141,32,13
77,0,39,1,0,0,0,1,38127,0,368522,24,1,2,29,0,717,457524,0.509,5,19401,1,0,0,1,1545660,0,2,10588,1,6,1,0,0,1,3,1,0.805,2,3,2,2,27089,846000000000.0,9553795020,39,6
78,0,18,1,0,3,0,3,12104,0,1240453,60,1,0,25,1,615,145248,2.708,1,32773,0,0,0,1,619387,1,4,12104,2,4,1,1,2,1,3,3,8.54,0,2,4,17,718485,269000000000.0,9569562017,18,12
79,0,1,0,0,1,0,3,0,0,1331178,60,1,0,34,1,731,0,16401.0,1,16401,0,0,1,1,132577,0,4,0,2,3,1,1,1,215,0,4,100.0,2,2,0,5,989111,30453194337.0,9504793036,1,15
80,0,4,0,1,1,0,1,71887,0,2103506,300,0,2,23,0,727,862644,0.217,3,15603,1,1,2,1,2893503,0,4,28636,4,6,1,1,3,0,3,3,2.438,2,2,9,24,265419,873000000000.0,9124938430,4,4
81,0,13,1,1,1,0,1,112111,0,797002,60,1,2,35,0,692,1345332,0.187,1,20958,0,0,1,1,3789820,1,2,43735,1,2,1,1,2,64,2,0,0.592,1,2,3,26,392193,871000000000.0,9758030468,13,2
82,0,32,0,1,1,1,1,5000,0,1843844,180,1,2,40,1,707,60000,6.075,1,30377,1,0,0,1,447586,0,2,5000,4,5,1,1,1,215,4,4,30.731,2,2,8,14,391067,635000000000.0,9541107609,32,1
83,0,40,1,1,0,1,2,3000,0,9232797,300,0,2,46,1,663,36000,6.378,3,19134,2,1,0,5,0,0,1,2000,3,3,1,1,0,159,4,3,256.467,1,3,9,12,396555,174000000000.0,9179110065,40,8
84,0,33,0,1,1,0,1,28345,0,405613,48,0,0,31,1,527,340140,0.874,5,24773,1,0,2,1,1606042,0,1,7300,1,1,1,0,2,0,4,1,1.192,1,3,6,3,838042,705000000000.0,9619639907,33,13
85,0,12,1,0,1,0,1,7914,0,477651,36,1,2,32,1,619,94968,6.675,0,52827,0,0,0,1,558046,0,4,3593,0,0,1,1,4,221,4,4,5.03,1,3,1,25,756583,992000000000.0,9091939284,12,12
86,0,18,0,1,0,0,1,89966,0,880759,36,0,2,30,0,772,1079592,0.0,0,0,0,2,0,1,2335973,0,4,45795,1,0,1,1,3,0,4,4,0.816,2,2,7,28,730003,972000000000.0,9549822749,18,1
87,0,1,0,1,0,0,1,101852,0,116123,60,1,0,30,0,733,1222224,0.205,5,20837,1,0,1,1,3651599,0,4,42994,0,3,1,1,2,221,2,3,0.095,2,2,9,6,489430,89203880653.0,9331537795,1,1
88,0,23,1,0,0,1,3,7607,5711,294147,48,1,2,39,0,739,159816,0.0,5,0,0,0,2,1,599683,0,1,2000,0,3,0,1,3,0,1,2,1.841,0,3,3,26,227882,652000000000.0,9933756362,23,16
89,0,0,1,0,0,0,2,62582,17966,1760927,120,1,0,43,0,717,966576,0.406,3,32709,1,0,2,5,3441991,0,0,38696,2,6,1,0,1,0,3,1,1.822,1,2,8,14,673759,151000000000.0,9033423425,0,4
90,0,0,1,1,1,0,1,62827,0,1680583,240,0,1,42,0,595,753924,0.285,1,17904,0,0,3,1,2749297,1,2,38819,1,3,1,1,2,1,2,1,2.229,2,2,0,20,116628,302000000000.0,9735528961,0,15
91,0,12,1,1,1,1,2,3000,884,7488424,240,1,1,38,1,654,46608,2.864,3,11123,1,0,1,3,278512,0,4,3884,3,5,1,1,1,221,2,3,160.668,1,3,6,3,438006,339000000000.0,9384253042,12,3
92,0,24,1,0,2,1,1,21109,0,5195804,300,1,0,39,0,625,253308,0.052,3,1105,1,0,1,1,760027,1,2,9452,2,1,1,1,1,1,3,2,20.512,0,2,3,26,264446,318000000000.0,9725587774,24,13
93,0,38,0,1,1,1,1,45652,0,75912,60,1,2,31,0,710,547824,0.0,6,0,1,0,5,1,1698916,0,4,23293,1,2,1,1,2,0,3,2,0.139,2,2,3,13,451936,33373634669.0,9254812147,38,3
94,0,1,1,1,2,0,1,60198,0,275004,24,0,1,41,0,576,722376,0.066,5,3989,0,0,4,1,2784688,0,4,25488,2,6,1,0,1,1,4,3,0.381,1,2,8,14,190452,908000000000.0,9754602734,1,8
95,0,0,1,0,0,1,0,8922,4127,1585878,36,1,0,56,0,630,156588,1.323,0,17269,2,0,3,1,615629,0,0,4956,3,0,1,1,4,0,1,3,10.128,0,2,8,14,29679,489000000000.0,9835354443,0,17
96,0,39,0,1,0,1,1,69615,29461,1163926,240,1,0,40,0,615,1188912,0.113,1,11165,0,0,1,1,2963600,0,4,38182,2,6,1,1,4,0,1,3,0.979,0,3,5,1,402223,44566907826.0,9333738987,39,2
97,0,18,1,0,2,1,1,99781,0,4690235,360,0,0,29,1,631,1197372,0.0,3,0,1,1,9,1,3707466,1,2,41590,3,2,1,1,0,0,0,3,3.917,0,2,8,14,566336,537000000000.0,9240755366,18,13
98,0,24,0,1,3,0,2,83511,0,2303560,300,1,1,54,0,680,1002132,0.287,3,23992,1,0,1,5,2202565,0,1,38503,1,6,1,1,2,217,0,2,2.299,0,2,5,1,702935,591000000000.0,9663618637,24,15
99,0,17,1,0,1,1,2,3000,1812,336988,36,0,0,27,1,553,57744,4.305,5,20718,1,1,2,0,0,0,4,2000,3,5,1,1,2,1,1,3,5.836,1,2,8,10,242135,741000000000.0,9316433481,17,2
100,0,4,1,0,2,0,1,82923,0,9177416,240,0,2,27,1,579,995076,0.464,3,38505,2,0,1,1,3287485,0,0,36546,2,3,1,1,1,158,2,3,9.223,2,2,4,22,517996,803000000000.0,9163234672,4,7
101,0,18,1,0,3,0,1,106418,50764,4746311,240,1,2,41,0,750,1886184,0.01,3,1554,2,0,6,1,5521703,0,4,66712,2,2,1,1,0,1,1,3,2.516,1,2,3,11,821527,874000000000.0,9597779014,18,2
102,0,0,0,1,0,0,2,32371,0,389347,180,1,0,43,0,694,388452,0.872,1,28239,2,0,1,1,1211445,0,2,12984,0,3,1,1,0,221,4,0,1.002,1,2,8,10,199138,469000000000.0,9916032484,0,8
103,0,9,1,1,0,0,3,13956,0,1768962,36,1,1,26,1,612,167472,2.304,0,32155,0,0,0,1,208396,0,4,11815,4,1,1,1,2,9,2,0,10.563,0,3,0,5,122325,682000000000.0,9380701765,9,13
104,0,31,1,0,2,0,1,86493,0,160307,300,1,2,44,0,703,1037916,0.0,3,0,3,0,2,1,3639721,0,4,33931,2,1,1,1,1,0,3,4,0.154,0,2,0,5,43935,4125777118.0,9372742209,31,15
105,0,0,1,1,2,0,1,74888,33902,308053,24,1,0,39,0,633,1305480,0.195,2,21234,1,0,1,1,4562141,0,4,32021,2,0,1,1,3,216,4,4,0.236,2,2,6,4,96699,186000000000.0,9083708164,0,2
106,0,0,1,0,2,0,0,43718,58043,1539936,120,1,0,45,0,755,1221132,0.195,1,19872,0,0,6,1,3423977,0,4,41478,0,2,1,1,4,215,0,0,1.261,2,2,4,19,175523,6335331060.0,9053131220,0,11
107,0,5,1,1,0,0,1,98367,0,7028930,300,1,1,34,0,652,1180404,0.125,3,12252,2,0,3,1,3234093,1,4,45088,4,6,1,1,0,221,1,4,5.955,0,1,5,15,543973,558000000000.0,9155206506,5,9
108,0,28,1,0,0,1,3,7781,0,4198231,300,1,2,35,1,678,93372,2.04,3,15877,0,0,0,1,0,0,3,3685,0,5,1,1,0,221,0,4,44.962,2,0,1,0,672918,150000000000.0,9892419562,28,1
109,0,32,0,1,0,0,1,59898,84954,2271038,180,1,2,44,0,811,1738224,0.0,1,0,1,0,0,1,5147727,0,4,60148,0,3,1,1,4,47,0,4,1.307,2,2,6,16,911631,572000000000.0,9903091436,32,10
110,0,31,1,0,1,1,1,79239,0,467440,48,1,0,39,0,690,950868,0.365,0,28951,1,0,5,1,3001532,0,2,45484,3,4,1,1,1,221,3,0,0.492,2,2,3,11,807634,25743263039.0,9752450864,31,16
111,0,38,0,1,0,0,1,92625,0,339839,24,1,2,27,0,701,1111500,0.27,2,24993,2,0,4,1,3411668,1,2,50240,2,3,1,1,4,221,4,2,0.306,0,2,0,23,288309,553000000000.0,9270171302,38,9
112,0,26,1,0,0,1,2,3000,0,69275,48,0,2,47,1,560,36000,5.757,5,17272,1,0,2,1,321548,1,3,2000,3,2,1,1,1,1,1,3,1.924,1,4,6,3,519624,298000000000.0,9362934497,26,9
113,0,9,0,0,2,1,2,87579,44170,673923,24,1,0,35,0,633,1580988,0.0,4,0,1,0,4,1,5027671,0,2,62825,2,2,1,1,1,1,0,0,0.426,1,3,9,6,673786,157000000000.0,9706614982,9,4
114,0,14,1,1,2,1,1,5000,889,1964891,360,1,1,18,0,762,70668,0.0,3,0,0,0,5,1,0,0,4,4521,2,6,1,0,2,221,0,3,27.805,2,4,6,4,679935,675000000000.0,9732300857,14,13
115,0,13,1,1,0,0,1,37290,12518,6346069,360,0,2,47,1,598,597696,0.926,3,46120,1,0,4,1,2653011,1,2,33595,1,1,1,1,3,1,0,4,10.618,1,2,7,28,803306,567000000000.0,9364587506,13,11
116,0,31,1,0,1,0,2,78237,0,2215952,240,1,2,44,0,726,938844,0.299,1,23377,1,0,3,3,3274240,0,3,40573,2,0,1,1,0,46,2,4,2.36,1,2,0,20,718308,705000000000.0,9920116691,31,3
